number,id,status,year,month,day,hour,time,SUM
1,1,'test',1400,1,18,'19:56:58','2021-04-0719:56:58.596207',0
2,2,'signin ',1400,1,18,'19:57:09','2021-04-0719:57:09.249840',0
3,3,'signout',1400,1,18,'19:57:15','2021-04-0719:57:15.753689',0
4,4,'signin ',1400,1,19,'14:12:53','2021-04-0814:12:53.788480',0
5,5,'signout',1400,1,19,'23:00:46','2021-04-0823:30:46.996937',527
6,6,'signin ',1400,1,20,'09:01:00','2021-04-0909:01:00.038239',527
7,7,'signout',1400,1,20,'22:54:25','2021-04-0922:54:25.709897',1360
8,8,'signin ',1400,1,21,'17:15:20','2021-04-1017:15:20.211664',1360
9,9,'signout',1400,1,21,'22:57:25','2021-04-1022:57:25.770998',1702
10,10,'signin ',1400,1,22,'17:09:43','2021-04-1117:09:43.808672',1702
11,11,'signout',1400,1,22,'22:58:42','2021-04-1122:58:42.533745',2050
12,12,'signin ',1400,1,23,'17:16:40','2021-04-1217:16:40.136397',2050
13,13,'signout',1400,1,23,'22:53:22','2021-04-1222:53:22.980401',2386
14,14,'signin ',1400,1,24,'17:14:17','2021-04-1317:14:17.233568',2386
15,15,'signout',1400,1,24,'22:58:21','2021-04-1322:58:21.945058',2730
16,16,'signin ',1400,1,25,'17:15:17','2021-04-1417:15:17.425477',2730
17,17,'signout',1400,1,25,'22:52:54','2021-04-1422:52:54.764297',3067
18,18,'signin ',1400,1,28,'17:14:18','2021-04-1717:14:18.969912',3067
19,19,'signout',1400,1,28,'22:46:12','2021-04-1722:46:12.507897',3398
20,20,'signin ',1400,1,29,'17:24:01','2021-04-1817:24:01.895988',3398
21,21,'signout',1400,1,29,'23:00:45','2021-04-1823:00:45.342740',3734
22,22,'signin ',1400,1,30,'17:11:38','2021-04-1917:11:38.886676',3734
23,23,'signout',1400,1,30,'23:05:08','2021-04-1923:05:08.792573',4087
24,24,'signin ',1400,1,31,'17:17:06','2021-04-2017:17:06.881001',4087
25,25,'signout',1400,1,31,'22:51:01','2021-04-2022:51:01.442092',4420
