number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,60,test,1400,3,1,17:15:16,2021-05-22 17:15:16.348642,0,0.00
2,61,signin ,1400,3,1,17:15:16,2021-05-22 17:15:16.697589,0,0.00
3,62,signout,1400,3,1,22:57:00,2021-05-22 22:57:00.831331,341,5.68
4,63,signin ,1400,3,2,17:14:24,2021-05-23 17:14:24.654619,341,5.68
5,64,signout,1400,3,2,22:57:21,2021-05-23 22:57:21.881957,683,11.38
6,65,signin ,1400,3,3,17:14:26,2021-05-24 17:14:26.388241,683,11.38
7,66,signout,1400,3,3,22:55:40,2021-05-24 22:55:40.561259,1024,17.07
8,67,signin ,1400,3,4,17:14:31,2021-05-25 17:14:31.196380,1024,17.07
9,68,signout,1400,3,4,22:56:25,2021-05-25 22:56:25.717184,1365,22.75
10,69,signin ,1400,3,5,17:16:33,2021-05-26 17:16:33.872694,1365,22.75
11,70,signout,1400,3,5,22:58:17,2021-05-26 22:58:17.793706,1706,28.43
12,71,signin ,1400,3,6,14:09:13,2021-05-27 14:09:13.043669,1706,28.43
13,72,signout,1400,3,6,23:01:37,2021-05-27 23:01:37.831061,2238,37.30
14,73,signin ,1400,3,7,09:42:10,2021-05-28 09:42:10.810094,2238,37.30
15,74,signout,1400,3,7,23:06:06,2021-05-28 23:06:06.526392,3041,50.68
16,75,signin ,1400,3,9,17:14:25,2021-05-30 17:14:25.624748,3041,50.68
17,76,signout,1400,3,9,22:58:17,2021-05-30 22:58:17.314548,3384,56.40
18,77,signin ,1400,3,10,17:18:26,2021-05-31 17:18:26.802351,3384,56.40
19,78,signout,1400,3,10,23:03:47,2021-05-31 23:03:47.402231,3729,62.15
20,79,signin ,1400,3,11,17:17:31,2021-06-01 17:17:31.621089,3729,62.15
21,80,signout,1400,3,11,23:01:04,2021-06-01 23:01:04.700664,4072,67.87
22,81,signin ,1400,3,12,17:18:04,2021-06-02 17:18:04.642590,4072,67.87
23,82,signout,1400,3,12,23:01:57,2021-06-02 23:01:57.969924,4415,73.58
24,83,signin ,1400,3,13,14:00:46,2021-06-03 14:00:46.139561,4415,73.58
25,84,signout,1400,3,13,22:57:16,2021-06-03 22:57:16.998408,4951,82.52
26,85,signin ,1400,3,14,08:54:04,2021-06-04 08:54:04.294400,4951,82.52
27,86,signout,1400,3,14,22:52:00,2021-06-04 22:52:00.120629,5788,96.47
28,87,signin ,1400,3,15,10:24:54,2021-06-05 10:24:54.248402,5788,96.47
29,88,signout,1400,3,15,22:53:35,2021-06-05 22:53:35.483490,6536,108.93
30,89,signin ,1400,3,16,09:23:20,2021-06-06 09:23:20.044084,6536,108.93
31,90,signout,1400,3,16,22:50:19,2021-06-06 22:50:19.435131,7342,122.37
32,91,signin ,1400,3,18,17:18:10,2021-06-08 17:18:10.904076,7342,122.37
33,92,signout,1400,3,18,22:59:07,2021-06-08 22:59:07.788975,7682,128.03
34,93,signin ,1400,3,19,17:21:07,2021-06-09 17:21:07.915179,7682,128.03
35,94,signout,1400,3,19,22:57:57,2021-06-09 22:57:57.175526,8018,133.63
36,95,signin ,1400,3,20,14:01:05,2021-06-10 14:01:05.821557,8018,133.63
37,96,signout,1400,3,20,22:58:08,2021-06-10 22:58:08.420586,8555,142.58
38,97,signin ,1400,3,21,09:58:59,2021-06-11 09:58:59.030797,8555,142.58
39,98,signout,1400,3,21,23:03:01,2021-06-11 23:03:01.769212,9339,155.65
40,99,signin ,1400,3,22,17:35:50,2021-06-12 17:35:50.497108,9339,155.65
41,100,signout,1400,3,22,23:00:12,2021-06-12 23:00:12.480165,9663,161.05
42,101,signin ,1400,3,23,17:13:48,2021-06-13 17:13:48.802276,9663,161.05
43,102,signout,1400,3,23,23:02:31,2021-06-13 23:02:31.132655,10011,166.85
44,103,signin ,1400,3,24,17:20:08,2021-06-14 17:20:08.661348,10011,166.85
45,104,signout,1400,3,24,23:01:21,2021-06-14 23:01:21.631121,10352,172.53
46,105,signin ,1400,3,25,17:16:55,2021-06-15 17:16:55.633475,10352,172.53
47,106,signout,1400,3,25,23:07:04,2021-06-15 23:07:04.654467,10702,178.37
48,107,signin ,1400,3,26,17:18:59,2021-06-16 17:18:59.116860,10702,178.37
49,108,signout,1400,3,26,23:03:20,2021-06-16 23:03:20.359168,11046,184.10
50,109,signin ,1400,3,27,14:04:01,2021-06-17 14:04:01.898415,11046,184.10
51,110,signout,1400,3,27,23:01:21,2021-06-17 23:01:21.631121,11586,193.10
52,111,signin ,1400,3,30,17:15:29,2021-06-20 17:15:29.819959,11586,193.10
53,112,signout,1400,3,30,21:02:45,2021-06-20 21:02:45.981431,11813,196.88
