number,id,status,year,month,day,hour,time,SUM,SUM in hour
1,44,test,1403,12,1,09:20:10,2025-02-19 09:20:10.618256,0,0:0
2,45,signin ,1403,12,1,09:20:14,2025-02-19 09:20:14.241862,0,0:0
3,46,signout,1403,12,1,19:31:58,2025-02-19 19:31:58,611,10:11
4,47,signin ,1403,12,4,11:24:27,2025-02-22 11:24:27.377619,611,10:11
5,48,signout,1403,12,4,19:14:04,2025-02-22 19:14:04,1080,18:0
6,49,signin ,1403,12,5,17:59:38,2025-02-23 17:59:38.144662,1080,18:0
7,50,signout,1403,12,5,21:37:53,2025-02-23 21:37:53,1298,21:38
8,51,signin ,1403,12,6,14:25:00,2025-02-24 14:25:00,1298,21:38
9,52,signout,1403,12,6,18:39:38,2025-02-24 18:39:38,1552,25:52
10,53,signin ,1403,12,7,18:02:29,2025-02-25 18:02:29,1552,25:52
11,54,signout,1403,12,7,19:05:27,2025-02-25 19:05:27,1614,26:54
12,55,signin ,1403,12,13,10:25:00,2025-03-03 10:25:00,1614,26:54
13,56,signout,1403,12,13,17:58:14,2025-03-03 17:58:14.310098,2067,34:27
14,57,signin ,1403,12,15,08:30:00,2025-03-05 08:30:00,2067,34:27
